bigint	long
timestamp	byte[]
binary	byte[]
bit	boolean
char	String
decimal	java.math.BigDecimal
money	java.math.BigDecimal
smallmoney	java.math.BigDecimal
float	double
int	int
image	byte[]
varbinary	byte[]
varchar	String
text	String
nchar	String
nvarchar	String
ntext	String
numeric	java.math.BigDecimal
real	float
smallint	short
datetime	java.sql.Timestamp
smalldatetime	java.sql.Timestamp
udt	byte[]
tinyint	short
uniqueidentifier	String
xml	String
time	java.sql.Time
date	java.sql.Date
datetime	java.sql.Timestamp
datetimeoffset	microsoft.sql.DateTimeOffset
